date,amount,category,description
15.09.2023,45.90,Expense,Grocery shopping at supermarket
18.09.2023,120.00,Income,Salary deposit
22.09.2023,60.75,Expense,Utility bill payment
29.09.2023,250.00,Income,Freelance project payment
05.10.2023,30.00,Expense,Online subscription renewal
10.10.2023,80.50,Expense,New shoes purchase
15.10.2023,75.00,Income,Birthday gift
20.10.2023,55.25,Expense,Restaurant dinner
26.10.2023,200.00,Income,Stock dividends
02.11.2023,90.60,Expense,Gasoline refuel
07.11.2023,45.00,Expense,Pharmacy purchase
15.11.2023,300.00,Income,Freelance project payment
20.11.2023,70.00,Expense,Concert tickets
25.11.2023,100.00,Expense,Car maintenance
03.12.2023,500.00,Income,Monthly salary
08.12.2023,40.50,Expense,Christmas decorations
12.12.2023,120.00,Expense,Online shopping
18.12.2023,250.00,Income,Bonus payment
23.12.2023,65.75,Expense,Holiday gift shopping
28.12.2023,200.00,Income,Freelance project payment
05.01.2024,75.25,Expense,New Year's party supplies
10.01.2024,180.00,Expense,Home appliance purchase
15.01.2024,350.00,Income,Salary deposit
20.01.2024,50.00,Expense,Gym membership
25.01.2024,30.00,Expense,Coffee shop visit
01.02.2024,90.50,Expense,Utility bill payment
07.02.2024,220.00,Income,Freelance project payment
13.02.2024,45.75,Expense,Valentine's Day gift
20.02.2024,125.00,Expense,Clothing purchase
26.02.2024,100.00,Income,Stock dividends
02.03.2024,150.00,Income,Salary deposit
10.03.2024,60.00,Expense,Electricity bill
15.03.2024,35.50,Expense,Lunch with friends
20.03.2024,250.00,Income,Freelance project payment
25.03.2024,80.75,Expense,Groceries
02.04.2024,175.00,Income,Bonus payment
08.04.2024,120.00,Expense,Online shopping
15.04.2024,300.00,Income,Salary deposit
20.04.2024,90.00,Expense,Car insurance
25.04.2024,40.50,Expense,Books purchase
02.05.2024,75.00,Expense,Weekend trip
10.05.2024,60.25,Expense,Movie tickets
15.05.2024,350.00,Income,Freelance project payment
20.05.2024,80.00,Expense,Home repairs
25.05.2024,55.75,Expense,Dinner at restaurant
01.06.2024,100.00,Income,Stock dividends
07.06.2024,90.50,Expense,Gasoline refuel
15.06.2024,500.00,Income,Monthly salary
20.06.2024,70.25,Expense,New phone accessories
25.06.2024,120.00,Expense,Online course
02.07.2024,200.00,Income,Freelance project payment
10.07.2024,60.00,Expense,Gym membership renewal
15.07.2024,300.00,Income,Bonus payment
20.07.2024,75.00,Expense,Summer clothes shopping
25.07.2024,90.25,Expense,Restaurant dinner
02.08.2024,125.00,Income,Freelance project payment
08.08.2024,50.75,Expense,Office supplies
